zcta,time_period,population,Start date,end date,case count,test count,positive tests,case rate,test rate,positivity rate
94085,38,23223,2021-02-14,2021-03-06,34.0,2660.0,39.0,7.0,545.4,1.5
94085,66,23223,2022-09-25,2022-10-15,46.0,949.0,63.0,9.4,194.6,6.6
94085,25,23223,2020-05-17,2020-06-06,12.0,463.0,12.0,0.6,94.9,0.6
94085,62,23223,2022-07-03,2022-07-23,219.0,1615.0,263.0,8.5,331.2,3.0
94085,41,23223,2021-04-18,2021-05-08,15.0,2492.0,24.0,3.1,511.0,1.0
94085,36,23223,2021-01-03,2021-01-23,248.0,3961.0,285.0,8.5,812.2,7.2
94085,49,23223,2021-10-03,2021-10-23,23.0,2904.0,28.0,4.7,595.5,1.0
94085,55,23223,2022-02-06,2022-02-26,97.0,3215.0,138.0,19.9,659.2,4.3
94085,26,23223,2020-06-07,2020-06-27,31.0,797.0,32.0,6.4,163.4,4.0
94085,32,23223,2020-10-11,2020-10-31,24.0,1871.0,29.0,4.9,383.7,1.5
94085,48,23223,2021-09-12,2021-10-02,32.0,3253.0,44.0,6.6,667.0,1.4
94085,42,23223,2021-05-09,2021-05-29,16.0,2110.0,11.0,1.4,432.7,0.4
94085,22,23223,2020-03-15,2020-04-04,12.0,78.0,16.0,1.8,16.0,11.5
94085,28,23223,2020-07-19,2020-08-08,65.0,1295.0,75.0,13.3,265.5,5.8
94085,21,23223,2020-02-23,2020-03-14,16.0,11.0,16.0,0.6,2.1,3.0
94085,19,23223,2020-01-12,2020-02-01,16.0,11.0,16.0,0.0,0.2,0.0
94085,18,23223,2019-12-22,2020-01-11,16.0,11.0,16.0,8.5,0.2,3.0
94085,65,23223,2022-09-04,2022-09-24,51.0,1067.0,63.0,10.5,218.8,5.9
94085,40,23223,2021-03-28,2021-04-17,28.0,2817.0,30.0,5.7,577.6,1.1
94085,54,23223,2022-01-16,2022-02-05,79.0,5249.0,92.0,8.5,1076.3,12.2
94085,35,23223,2020-12-13,2021-01-02,231.0,3296.0,261.0,8.5,675.8,7.9
94085,58,23223,2022-04-10,2022-04-30,66.0,1843.0,78.0,13.5,377.9,4.2
94085,50,23223,2021-10-24,2021-11-13,27.0,2882.0,30.0,5.5,591.0,1.0
94085,39,23223,2021-03-07,2021-03-27,15.0,2781.0,17.0,3.1,570.2,0.6
94085,56,23223,2022-02-27,2022-03-19,37.0,2251.0,47.0,7.6,461.6,2.1
94085,44,23223,2021-06-20,2021-07-10,14.0,1476.0,17.0,2.9,302.7,1.2
94085,53,23223,2021-12-26,2022-01-15,79.0,5880.0,92.0,8.5,427.1,3.0
94085,52,23223,2021-12-05,2021-12-25,69.0,3191.0,76.0,14.1,654.3,2.4
94085,31,23223,2020-09-20,2020-10-10,14.0,1485.0,16.0,2.9,304.5,1.1
94085,29,23223,2020-08-09,2020-08-29,65.0,1314.0,73.0,13.3,269.4,5.6
94085,23,23223,2020-04-05,2020-04-25,12.0,163.0,16.0,1.8,33.4,5.5
94085,30,23223,2020-08-30,2020-09-19,18.0,1295.0,20.0,3.7,265.5,1.5
94085,51,23223,2021-11-14,2021-12-04,51.0,2992.0,57.0,10.5,613.5,1.9
94085,64,23223,2022-08-14,2022-09-03,92.0,1091.0,111.0,18.9,223.7,10.2
94085,59,23223,2022-05-01,2022-05-21,165.0,2315.0,192.0,33.8,474.7,8.3
94085,63,23223,2022-07-24,2022-08-13,150.0,1348.0,190.0,30.8,276.4,14.1
94085,61,23223,2022-06-12,2022-07-02,219.0,1696.0,255.0,8.5,347.8,3.0
94085,27,23223,2020-06-28,2020-07-18,53.0,1379.0,61.0,10.9,282.8,4.4
94085,57,23223,2022-03-20,2022-04-09,30.0,1949.0,34.0,6.2,399.6,1.7
